Recherche de l'hôte...
Connexion à l'hôte...
Authentification...
Utilisation du nom d'utilisateur "gmetais".
Authentification avec le mot de passe pré-entré.
Authentifié.
Démarrage de la session...
Session démarrée.
Session active : [1] gmetais@rebond.tlt
Recherche de l'hôte...
Connexion à l'hôte...
Authentification...
Utilisation du nom d'utilisateur "gmetais".
Authentification avec le mot de passe pré-entré.
Authentifié.
Démarrage de la session...
Session démarrée.
..\StatsIS\2017-11-30\CHROMEBOOK.csv |           1 KB |    0,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\SERVEURS.bak.csv |           2 KB |  473,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\SERVEURS.csv |           2 KB |  478,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\SERVEURS.htm |          568 B |  466,9 KB/s | binary | 100%
..\StatsIS\2018-01-21\SERVEURS.png |          11 KB |  474,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\SERVEURS.tab |           1 KB |  476,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\serveurs.txt |           85 B |  464,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\UCSHIP.bak.csv |           2 KB |  457,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\UCSHIP.csv |           2 KB |  449,7 KB/s | binary | 100%
..\StatsIS\2018-01-21\UCSHIP.htm |          558 B |  450,5 KB/s | binary | 100%
..\StatsIS\2018-01-21\UCSHIP.png |           9 KB |  454,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\UCSHIP.tab |           1 KB |  445,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\UCSHIP.txt |          121 B |  445,6 KB/s | binary | 100%
..\StatsIS\2018-01-21\WIFICISCO.bak.csv |           3 KB |  440,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\WIFICISCO.csv |           3 KB |  436,1 KB/s | binary | 100%
..\StatsIS\2018-01-21\WIFICISCO.htm |          573 B |  436,9 KB/s | binary | 100%
..\StatsIS\2018-01-21\WIFICISCO.png |          13 KB |  445,9 KB/s | binary | 100%
..\StatsIS\2018-01-21\WIFICISCO.tab |           1 KB |  447,9 KB/s | binary | 100%
..\StatsIS\2018-01-21\WIFICisco.txt |          108 B |  438,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\ZPL.bak.csv |           3 KB |  433,8 KB/s | binary | 100%
..\StatsIS\2018-01-21\ZPL.csv |           3 KB |  438,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\ZPL.htm |          543 B |  429,5 KB/s | binary | 100%
..\StatsIS\2018-01-21\ZPL.png |          15 KB |  440,2 KB/s | binary | 100%
..\StatsIS\2018-01-21\ZPL.tab |           1 KB |  441,8 KB/s | binary | 100%
..\StatsIS\2018-01-21\ZPL.txt |          115 B |  433,6 KB/s | binary | 100%
..\StatsIS\2018-01-31\C11.bak.csv |           1 KB |    0,0 KB/s | binary | 100%
..\StatsIS\2018-01-31\C11.csv |           1 KB |   67,7 KB/s | binary | 100%
..\StatsIS\2018-01-31\C11.htm |          543 B |  100,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\C11.png |          14 KB |  505,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\C11.tab |           1 KB |  539,7 KB/s | binary | 100%
..\StatsIS\2018-01-31\C11.txt |          124 B |  370,1 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHROMEBOOK.bak.csv |           2 KB |  415,0 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHROMEBOOK.csv |           2 KB |  343,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHROMEBOOK.htm |          578 B |  352,1 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHROMEBOOK.png |          14 KB |  458,3 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHROMEBOOK.tab |           1 KB |  398,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHROMEBOOK.txt |           84 B |  399,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRPORT.bak.csv |           3 KB |  369,1 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRPORT.csv |           3 KB |  349,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRPORT.htm |          563 B |  313,7 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRPORT.png |          11 KB |  357,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRPORT.tab |           1 KB |  333,5 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRPORT.txt |          136 B |  305,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRRECOND.bak.csv |           2 KB |  295,6 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRRECOND.csv |           2 KB |  288,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRRECOND.htm |          573 B |  270,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRRECOND.png |          12 KB |  306,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRRECOND.tab |           1 KB |  292,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRRECOND.txt |          145 B |  276,3 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRRP.bak.csv |           3 KB |  161,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRRP.csv |           3 KB |  162,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRRP.htm |          553 B |  159,0 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRRP.png |          10 KB |  177,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRRP.tab |           1 KB |  175,3 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRRP.txt |           83 B |  175,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRUC.bak.csv |           2 KB |  175,1 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRUC.csv |           2 KB |  174,7 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRUC.htm |          553 B |  175,6 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRUC.png |          12 KB |  192,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRUC.tab |           1 KB |  194,1 KB/s | binary | 100%
..\StatsIS\2018-01-31\CHRUC.txt |          109 B |  189,1 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLGV.bak.csv |           3 KB |  194,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLGV.csv |           3 KB |  194,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLGV.htm |          553 B |  195,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLGV.png |          11 KB |  209,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLGV.tab |           1 KB |  211,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLGV.TXT |           63 B |  206,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLMET.bak.csv |           3 KB |  211,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLMET.csv |           3 KB |  211,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLMET.htm |          558 B |  207,3 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLMET.png |          15 KB |  230,3 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLMET.tab |           1 KB |  226,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLMET.txt |          112 B |  227,1 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLPV.bak.csv |           3 KB |  227,1 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLPV.csv |           3 KB |  231,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLPV.htm |          553 B |  227,5 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLPV.png |          11 KB |  243,7 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLPV.tab |           1 KB |  245,6 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLPV.txt |           95 B |  240,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLRECOND.bak.csv |           2 KB |  244,5 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLRECOND.csv |           2 KB |  242,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLRECOND.htm |          573 B |  243,7 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLRECOND.png |          11 KB |  253,3 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLRECOND.tab |           1 KB |  254,7 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLRECOND.txt |           82 B |  250,0 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLUC.bak.csv |           2 KB |  253,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLUC.csv |           2 KB |  251,7 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLUC.htm |          553 B |  252,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLUC.png |          12 KB |  267,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLUC.tab |           1 KB |  264,1 KB/s | binary | 100%
..\StatsIS\2018-01-31\COLUC.txt |           49 B |  264,1 KB/s | binary | 100%
..\StatsIS\2018-01-31\FINGERPRINT.bak.csv |           4 KB |  264,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\FINGERPRINT.csv |           4 KB |  268,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\FINGERPRINT.htm |          583 B |  269,6 KB/s | binary | 100%
..\StatsIS\2018-01-31\FINGERPRINT.png |          10 KB |  276,6 KB/s | binary | 100%
..\StatsIS\2018-01-31\FINGERPRINT.tab |           1 KB |  278,5 KB/s | binary | 100%
..\StatsIS\2018-01-31\FINGERPRINT.txt |          118 B |  273,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\index.html |           6 KB |  281,5 KB/s | binary | 100%
..\StatsIS\2018-01-31\PFMA.bak.csv |           3 KB |  279,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\PFMA.csv |           3 KB |  283,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\PFMA.htm |          548 B |  278,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\PFMA.png |          13 KB |  293,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\PFMA.tab |           1 KB |  289,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\PFMA.txt |          154 B |  289,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\PSMM3.bak.csv |           2 KB |  287,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\PSMM3.csv |           2 KB |  290,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\PSMM3.htm |          553 B |  291,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\PSMM3.png |          10 KB |  297,6 KB/s | binary | 100%
..\StatsIS\2018-01-31\PSMM3.tab |           1 KB |  298,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\PSMM3.txt |          125 B |  294,3 KB/s | binary | 100%
..\StatsIS\2018-01-31\SERVEURS.bak.csv |           2 KB |  292,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\SERVEURS.csv |           2 KB |  295,3 KB/s | binary | 100%
..\StatsIS\2018-01-31\SERVEURS.htm |          568 B |  295,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\SERVEURS.png |          11 KB |  303,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\SERVEURS.tab |           1 KB |  304,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\SERVEURS.txt |          110 B |  299,7 KB/s | binary | 100%
..\StatsIS\2018-01-31\UCSHIP.bak.csv |           2 KB |  302,3 KB/s | binary | 100%
..\StatsIS\2018-01-31\UCSHIP.csv |           2 KB |  304,8 KB/s | binary | 100%
..\StatsIS\2018-01-31\UCSHIP.htm |          558 B |  300,6 KB/s | binary | 100%
..\StatsIS\2018-01-31\UCSHIP.png |           9 KB |  309,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\UCSHIP.tab |           1 KB |  306,5 KB/s | binary | 100%
..\StatsIS\2018-01-31\UCSHIP.txt |          105 B |  306,6 KB/s | binary | 100%
..\StatsIS\2018-01-31\ZPL.bak.csv |           3 KB |  309,6 KB/s | binary | 100%
..\StatsIS\2018-01-31\ZPL.csv |           3 KB |  307,9 KB/s | binary | 100%
..\StatsIS\2018-01-31\ZPL.htm |          543 B |  308,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\ZPL.png |          13 KB |  316,2 KB/s | binary | 100%
..\StatsIS\2018-01-31\ZPL.tab |           1 KB |  317,4 KB/s | binary | 100%
..\StatsIS\2018-01-31\ZPL.txt |          139 B |  313,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRPORT.bak.csv |           3 KB |    0,0 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRPORT.csv |           3 KB |  202,0 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRPORT.htm |          563 B |  122,0 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRPORT.png |          13 KB |  547,6 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRPORT.tab |           1 KB |  589,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRPORT.txt |          121 B |  391,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRRECOND.bak.csv |           2 KB |  452,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRRECOND.csv |           2 KB |  383,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRRECOND.htm |          573 B |  392,1 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRRECOND.png |          12 KB |  476,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRRECOND.tab |           1 KB |  492,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRRECOND.txt |          119 B |  410,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRRP.bak.csv |           3 KB |  444,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRRP.csv |           3 KB |  408,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRRP.htm |          553 B |  413,8 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRRP.png |           9 KB |  500,3 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRRP.tab |           1 KB |  450,8 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRRP.txt |           83 B |  451,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRUC.bak.csv |           2 KB |  419,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRUC.csv |           2 KB |  438,6 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRUC.htm |          553 B |  399,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRUC.png |          11 KB |  474,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRUC.tab |           1 KB |  437,3 KB/s | binary | 100%
..\StatsIS\2018-02-01\CHRUC.txt |          107 B |  437,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLGV.bak.csv |           3 KB |  418,3 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLGV.csv |           3 KB |  435,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLGV.htm |          553 B |  438,7 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLGV.png |          11 KB |  462,7 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLGV.tab |           1 KB |  469,3 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLGV.TXT |          145 B |  435,7 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLMET.bak.csv |           3 KB |  451,6 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLMET.csv |           3 KB |  435,6 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLMET.htm |          558 B |  437,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLMET.png |          14 KB |  469,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLMET.tab |           1 KB |  475,5 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLMET.txt |          112 B |  447,3 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLPORT.bak.csv |           3 KB |  458,7 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLPORT.csv |           3 KB |  444,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLPORT.htm |          563 B |  446,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLPORT.png |           9 KB |  455,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLPORT.tab |           1 KB |  436,1 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLPORT.txt |          114 B |  436,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLPV.bak.csv |           3 KB |  427,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLPV.csv |           3 KB |  438,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLPV.htm |          553 B |  419,6 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLPV.png |          11 KB |  452,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLPV.tab |           1 KB |  436,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLPV.txt |           95 B |  436,5 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLRECOND.bak.csv |           2 KB |  426,5 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLRECOND.csv |           2 KB |  434,0 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLRECOND.htm |          573 B |  417,7 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLRECOND.png |          10 KB |  445,6 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLRECOND.tab |           1 KB |  432,1 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLRECOND.txt |           82 B |  432,3 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLUC.bak.csv |           2 KB |  422,6 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLUC.csv |           2 KB |  429,3 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLUC.htm |          553 B |  414,8 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLUC.png |          12 KB |  443,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLUC.tab |           1 KB |  431,0 KB/s | binary | 100%
..\StatsIS\2018-02-01\COLUC.txt |           74 B |  431,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\debug.html |           6 KB |  430,1 KB/s | binary | 100%
..\StatsIS\2018-02-01\debug2.html |           6 KB |  443,1 KB/s | binary | 100%
..\StatsIS\2018-02-01\FINGERPRINT.bak.csv |           4 KB |  452,1 KB/s | binary | 100%
..\StatsIS\2018-02-01\FINGERPRINT.csv |           4 KB |  445,8 KB/s | binary | 100%
..\StatsIS\2018-02-01\FINGERPRINT.htm |          583 B |  447,0 KB/s | binary | 100%
..\StatsIS\2018-02-01\FINGERPRINT.png |          10 KB |  453,6 KB/s | binary | 100%
..\StatsIS\2018-02-01\FINGERPRINT.tab |           1 KB |  456,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\FINGERPRINT.txt |          118 B |  442,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\index.html |           4 KB |  452,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\PFMA.bak.csv |           3 KB |  445,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\PFMA.csv |           3 KB |  451,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\PFMA.htm |          548 B |  439,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\PFMA.png |          12 KB |  461,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\PFMA.tab |           1 KB |  450,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\PFMA.txt |          154 B |  450,6 KB/s | binary | 100%
..\StatsIS\2018-02-01\PSMM3.bak.csv |           2 KB |  443,7 KB/s | binary | 100%
..\StatsIS\2018-02-01\PSMM3.csv |           2 KB |  448,5 KB/s | binary | 100%
..\StatsIS\2018-02-01\PSMM3.htm |          553 B |  437,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\PSMM3.png |          10 KB |  454,3 KB/s | binary | 100%
..\StatsIS\2018-02-01\PSMM3.tab |           1 KB |  444,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\PSMM3.txt |          125 B |  444,6 KB/s | binary | 100%
..\StatsIS\2018-02-01\SERVEURS.bak.csv |           2 KB |  449,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\SERVEURS.csv |           2 KB |  443,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\SERVEURS.htm |          568 B |  444,3 KB/s | binary | 100%
..\StatsIS\2018-02-01\SERVEURS.png |          11 KB |  450,7 KB/s | binary | 100%
..\StatsIS\2018-02-01\SERVEURS.tab |           1 KB |  442,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\serveurs.txt |          114 B |  442,4 KB/s | binary | 100%
..\StatsIS\2018-02-01\UCSHIP.bak.csv |           2 KB |  435,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\UCSHIP.csv |           2 KB |  429,8 KB/s | binary | 100%
..\StatsIS\2018-02-01\UCSHIP.htm |          558 B |  430,5 KB/s | binary | 100%
..\StatsIS\2018-02-01\UCSHIP.png |           8 KB |  433,7 KB/s | binary | 100%
..\StatsIS\2018-02-01\UCSHIP.tab |           1 KB |  435,3 KB/s | binary | 100%
..\StatsIS\2018-02-01\UCSHIP.txt |           90 B |  425,7 KB/s | binary | 100%
..\StatsIS\2018-02-01\WIFICISCO.bak.csv |           3 KB |  421,6 KB/s | binary | 100%
..\StatsIS\2018-02-01\WIFICISCO.csv |           3 KB |  426,7 KB/s | binary | 100%
..\StatsIS\2018-02-01\WIFICISCO.htm |          573 B |  418,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\WIFICISCO.png |          12 KB |  435,7 KB/s | binary | 100%
..\StatsIS\2018-02-01\WIFICISCO.tab |           1 KB |  428,5 KB/s | binary | 100%
..\StatsIS\2018-02-01\WIFICisco.txt |          198 B |  428,8 KB/s | binary | 100%
..\StatsIS\2018-02-01\ZPL.bak.csv |           3 KB |  424,7 KB/s | binary | 100%
..\StatsIS\2018-02-01\ZPL.csv |           3 KB |  428,8 KB/s | binary | 100%
..\StatsIS\2018-02-01\ZPL.htm |          543 B |  429,5 KB/s | binary | 100%
..\StatsIS\2018-02-01\ZPL.png |          13 KB |  437,2 KB/s | binary | 100%
..\StatsIS\2018-02-01\ZPL.tab |           1 KB |  438,9 KB/s | binary | 100%
..\StatsIS\2018-02-01\ZPL.txt |          126 B |  430,4 KB/s | binary | 100%
..\StatsIS\2018-02-08\C11.bak.csv |           1 KB |    0,0 KB/s | binary | 100%
..\StatsIS\2018-02-08\C11.csv |           1 KB |    0,0 KB/s | binary | 100%
..\StatsIS\2018-02-08\C11.htm |          543 B |  105,4 KB/s | binary | 100%
..\StatsIS\2018-02-08\C11.png |          14 KB | 1005,1 KB/s | binary | 100%
..\StatsIS\2018-02-08\C11.tab |           1 KB |  556,0 KB/s | binary | 100%
..\StatsIS\2018-02-08\C11.txt |          104 B |  559,3 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHROMEBOOK.bak.csv |           2 KB |  413,9 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHROMEBOOK.csv |           2 KB |  460,6 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHROMEBOOK.htm |          578 B |  472,6 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHROMEBOOK.png |          13 KB |  583,6 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHROMEBOOK.tab |           1 KB |  603,6 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHROMEBOOK.txt |           90 B |  480,9 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRPORT.bak.csv |           3 KB |  520,3 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRPORT.csv |           3 KB |  465,3 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRPORT.htm |          563 B |  471,1 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRPORT.png |          11 KB |  594,2 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRPORT.tab |           1 KB |  523,8 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRPORT.txt |          136 B |  525,0 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRRECOND.bak.csv |           2 KB |  480,3 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRRECOND.csv |           2 KB |  503,3 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRRECOND.htm |          573 B |  450,2 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRRECOND.png |          12 KB |  540,5 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRRECOND.tab |           1 KB |  496,1 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRRECOND.txt |          145 B |  497,0 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRRP.bak.csv |           3 KB |  516,6 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRRP.csv |           3 KB |  486,8 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRRP.htm |          553 B |  489,9 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRRP.png |           9 KB |  502,7 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRRP.tab |           1 KB |  509,4 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRRP.txt |           83 B |  469,7 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRUC.bak.csv |           2 KB |  482,4 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRUC.csv |           2 KB |  429,8 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRUC.htm |          553 B |  432,1 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRUC.png |          11 KB |  452,3 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRUC.tab |           1 KB |  456,6 KB/s | binary | 100%
..\StatsIS\2018-02-08\CHRUC.txt |          109 B |  429,5 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLGV.bak.csv |           3 KB |  418,1 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLGV.csv |           3 KB |  429,9 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLGV.htm |          553 B |  408,5 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLGV.png |          11 KB |  447,1 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLGV.tab |           1 KB |  429,7 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLGV.TXT |          124 B |  430,1 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLMET.bak.csv |           3 KB |  419,2 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLMET.csv |           3 KB |  429,5 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLMET.htm |          558 B |  431,2 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLMET.png |          15 KB |  456,4 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLMET.tab |           1 KB |  460,3 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLMET.txt |          112 B |  441,3 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLPV.bak.csv |           3 KB |  450,9 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLPV.csv |           3 KB |  441,0 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLPV.htm |          553 B |  442,4 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLPV.png |          11 KB |  453,7 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLPV.tab |           1 KB |  457,2 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLPV.txt |          131 B |  457,6 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLRECOND.bak.csv |           2 KB |  447,4 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLRECOND.csv |           2 KB |  437,1 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLRECOND.htm |          573 B |  438,4 KB/s | binary | 100%
..\StatsIS\2018-02-08\COLRECOND.png |          11 KB |  464,6 KB/s | binary | 100%
